ID,Username,CreateDate,Biased,Keyword,Text,Predicted
1181306226245799937,moe_reezy,2019-10-07 20:32:06+00:00,0,Jews,"The claim that Jews/Judaism &amp; Zionists/Zionism are the same thing or interchangeable, or that all Jews are responsible for the actions of Israel is in fact one of the clearest antisemitic tropes around.\n\nSo you keep doing you, �Israel Advocacy Movement�, you�re doing a great job. https://t.co/I3ZmiagGsj",1
1259151283753287681,CathrineSam3,2020-05-09 16:00:34+00:00,0,Israel,@sebastiankurz Israel is a brutal occupation. #FreePalestine????????,1
1441465674950266881,ElvisFever,2021-09-24 14:12:52+00:00,0,Israel,�Rashida is a bigot and a liar. Period.� Rashida Tlaib gets fact-DROPPED over and over and over again for insisting Israel is an apartheid state (period) https://t.co/mIUVmJVpmg,1
1428317908669763596,Jeff90700437,2021-08-19 11:28:20+00:00,0,Israel,"@davesmooth2 @robert_marsay @AlbertoRyman @supergutman @RichardBurgon Notice you ignored actual facts, Palestine was an occupied area of land &amp; was under international law to be devided into two areas. East of the Jordan River was Arab Palestine &amp; west of the Jordan River was Jewish Palestine. Jewish Palestine became Israel &amp; Arab Palestine Jordan.",1
1576053509036085249,Alimuktar2Mu,2022-10-01 03:36:52+00:00,0,Israel,@SecBlinken Does that mean USA doesn’t recognize Israel’s purported sovereignty over the Golan Heights and the illegal occupation of the Palestinian’s land? You can’t have your cake and eat it at the same time!,1
1634974967719944193,SidewalkSf,2023-03-12 17:49:43+00:00,0,Israel,Palestinian journalist Laila Ouda has been fired by France 24 for supporting her people's cause and exposing Israel's crimes and violations of international law. https://t.co/hnSMOUa4sL,1
1513252200667045892,carolineratner,2022-04-10 20:26:54+00:00,0,Israel,"I arrived in Santiago in the midst of ""Israeli Apartheid Week"" which takes place there to break this myth called ""Israeli Apartheid"" once and for all.  None of those who tried to confront me were able to shut me down because of the simple fact - I am an Arab from Israel. https://t.co/X9NBDspkbe",1
1513201920797810690,MilansMaster,2022-04-10 17:07:06+00:00,0,Israel,"Every Ramadan, Israel ramps up its violence against Palestinians!\n\nIt's like a clockwork!\n#FreePalestine \nhttps://t.co/Gow2MgwQQ1",1
1435327053092605955,HollyRenee77,2021-09-07 15:40:11+00:00,0,Israel,@MeadowGood @jimfoley Like Israel?,1
1597621165027385345,Ari_BoxingTalk,2022-11-29 15:59:02+00:00,0,Israel,@TalbertSwan Defund Israel #FreePalestine,1
1392253071036661760,hyunjinemaboy,2021-05-11 22:59:33+00:00,0,Israel,#israel is the real terrorist https://t.co/LgIqyRn946,1
1513319586753617923,Avi12311,2022-04-11 00:54:40+00:00,0,Israel,"An essential truth: the reason Palestinians are being denied statehood is because they want a state *in lieu of* Israel, not a state *next to* Israel. They have the power to alleviate their own plight, but for now, it�s the chant �We don�t want 2 states�we want all of it�",1
1277702210948923395,villainandeve,2020-06-29 20:35:20+00:00,0,Israel,"In FOUR days, Israel will be illegally annexing Palestine. Many Palestinians will be displaced from their homes, stripped of their rights &amp; their resources including their own agriculture. I will be linking below donations, where you can email/call , etc #FreePalestine",1
1313580106582052866,gerrydoherty16,2020-10-06 20:41:17+00:00,0,Israel,"@OxfordDiplomat After the war, Britain and the US decided to give Palestinian land to Zionists settlers, they did it, so they could loot the ME, under the guise, they were protecting Israel.",1
1351471486532419586,JackDarcey2,2021-01-19 10:08:06+00:00,0,Jews,@ManInEngland @CNN This is apartheid. Its only the Jews that cant travel in safety https://t.co/IV9RRvA2w7,1
1248695046628671488,EmmanuelCohen65,2020-04-10 19:31:13+00:00,0,Jews,@spikedonline @Tom_Slater_ We Jews are NEVER out to get you goyim!,1
1646900288861917184,uri4u,2023-04-14 15:36:41+00:00,0,Israel,"Its funny how people who claim Israel is ""apartheid"", are perfectly ok with the concept of a Judenrein Palestinian State. https://t.co/I2zPNCosT5",1
1442196077009068034,Roach_Collector,2021-09-26 14:35:14+00:00,0,Israel,"Israel and Palestine will recognize one another before I recognize Dunkin Donuts' rebrand to ""Dunkin""",1
1212868104658849795,MonarchinMN,2020-01-02 22:47:44+00:00,0,Israel,"Mr. Dean,  (1) You claimed Israel is Apartheid yet you cannot identify a single Israeli Apartheid policy. Not even one.   (2) You claimed Israel occupies Gaza, yet you cannot identify a single Israeli in Gaza.  I was fair. I gave you your chance. I will now mute you. https://t.co/9lhKdlhsVD",1
1206420081980452864,ashleyblair21,2019-12-16 03:45:36+00:00,0,ZioNazi,@Ibutterfly34 @SamSlamDunkIAm @BernieSanders Another one called me a zionazi bitch they?re lovely,1
1270839772194508800,stephanietega,2020-06-10 22:06:27+00:00,0,Jews,Now the Jews were the real owners of the slave ships. ?? https://t.co/el6GEWntwW,1
1515080717763493894,hamidrahman13,2022-04-15 21:32:46+00:00,0,Israel,Strongly condemn the attack by Israeli occupation forces on Al Aqsa mosque during Friday prayers in month of Ramazan. Al Aqsa mosque is the third holiest site for Muslims &amp; today Muslims across the world feel this hurt deeply. \nhttps://t.co/N6uFZfMYaY,1
1394039625669283844,BilalUzunkaya,2021-05-16 21:18:41+00:00,0,Israel,"@EmpireFiles @AbbyMartin We were the owners of these lands 1400 years ago; now we come back. Palestinians should leave these lands, Israelis say with a racist and hateful language. Due to your self-respect stop Israel crime please.   #HearGaza #HopeToGaza   @Pontifex",1
1609482420667154432,frokeefe,2023-01-01 09:31:26+00:00,0,Israel,UN seeks International Court of Justice opinion on Israel’s illegal occupation of Palestine https://t.co/9zRRtER2nB https://t.co/XJL8G0it32,1
1545111373599883267,quiscustodis,2022-07-07 18:23:52+00:00,0,Israel,RT @PalBint: Ben Wallace:   “I did not support Labour’s war in Iraq and I continue to oppose Israel’s illegal occupation of Palestine.”,1
1199350032564047872,EGarmadon,2019-11-26 15:31:45+00:00,0,Kikes,People actually do this? KIKES! https://t.co/0unm0oqI1L,1
1293839453312692224,BluePandoraBlog,2020-08-13 09:18:58+00:00,0,Jews,"""If Jews born in Brooklyn have a right to a state in Palestine, then Palestinians born in Jerusalem have a right to a state in Palestine. Anyone who doesn't agree with that principle, I think, is suspect."" https://t.co/xnsoKD9FA1",1
1441384274024824839,joseph_less,2021-09-24 08:49:25+00:00,0,Israel,Tlaib Draws Bipartisan Fire After Calling Israel �Apartheid� State; House Votes to Fund Iron Dome https://t.co/ZXLwvrHDV2,1
1609563875497713668,edrormba,2023-01-01 14:55:06+00:00,0,Israel,"“Wars that Arab nations and Palestinian terrorists have been unable to win against Israel opened up into new theater: War of defamatory words, antisemitic semantics, semiotics of Palestinian suffering.� Apartheid slander is major weapon in that war. \n[No 🚫#IsraeliApartheid ] https://t.co/6yi9hXlbMI",1
1163571404090028032,Aladin14453568,2019-08-19 22:00:15+00:00,0,Kikes,@MeIGibsonFan34 @vsvsq1 No kikes,1
1144907804056129536,Adriansen,2019-06-29 09:57:46+00:00,0,Kikes,"""Kikes In Satan's Service"" https://t.co/rLvKyFgGdY",1
1101810794021285889,PhotoshopTruth,2019-03-02 11:45:38+00:00,0,Jews,"@haaretzcom Palestine is Judea, the Roman name for 'Land of the Jews.' HOW DID MUSLIMS SUDDENLY BECOME �PALESTINIANS� AFTER 2,000 YEARS? The Shocking Truth: https://t.co/2bQaHyAJ92 https://t.co/uPHoEkn1Eg",1
1172900837246423041,_h4rurag1_,2019-09-14 15:52:05+00:00,0,Kikes,Header //@ gfx_soba \n\nGiveaway?3D????\n\nPlz kikes &amp; RT?? https://t.co/WdCKPwk5ea,1
1147265201286373378,Lagt12,2019-07-05 22:05:13+00:00,0,Kikes,@RQGNAROKKS @demonbentley Noooo i lost the 69 kikes ;-;,1
1211121635035697160,plivecalmest,2019-12-29 03:07:54+00:00,0,Kikes,? I bet #TIL The media's biased view of kikes (citation needed) should have been a great A E S T H E T I C rawr xd Bad ? ?? ?? ?? ? ?? ?? ?? ?? ? ?? ??,1
1247148074474110976,troybison,2020-04-06 13:04:06+00:00,0,ZioNazi,"List of ""ZioNazis"" &amp; Keir #Starmer as ""Star-of-David-Mer"" ??\n#LabourAntisemitism https://t.co/cSHeTevibd",1
1632375159326756866,avrambaram,2023-03-05 13:39:00+00:00,0,Jews,"@AidaTuma In the last month, 14 Jews were murdered by Palestinians, including children aged six, eight and fourteen. The fire that you see is also the result of the murder of an 18-year-old. The Palestinians kill and cry, so that no one will talk about their crimes.",1
